Business Type,,Reseller Name,,City,State Name,,,,Head Office,Country,,Region
Value Added Reseller,  Frugal Bike Shop    ,Frugal Bike Shop,SALT LAKE CITY,Salt Lake City,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Associated Bikes    ,Associated Bikes,SALT LAKE CITY,Salt Lake City,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Transport Bikes    ,Transport Bikes,SANDY,Sandy,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Brakes and Gears    ,Brakes and Gears,TOOELE,Tooele,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Sales and Supply Company    ,Sales and Supply Company,CHANTILLY,Chantilly,Virginia,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    The Cycle Store    ,The Cycle Store,FALLS CHURCH,Falls Church,Virginia,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Clamps & Brackets Co.    ,Clamps & Brackets Co.,LEESBURG,Leesburg,Virginia,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Trusted Catalog Store    ,Trusted Catalog Store,NEWPORT NEWS,Newport News,Virginia,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Bike Products and Accessories    ,Bike Products and Accessories,VIRGINIA BEACH,Virginia Beach,Virginia,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Safe Cycles Shop    ,Safe Cycles Shop,BELLEVUE,Bellevue,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Friendly Bike Shop    ,Friendly Bike Shop,BELLINGHAM,Bellingham,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Running and Cycling Gear    ,Running and Cycling Gear,BELLINGHAM,Bellingham,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      All Cycle Shop    ,All Cycle Shop,BOTHELL,Bothell,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Center Cycle Shop    ,Center Cycle Shop,BOTHELL,Bothell,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Vast Bike Sales and Rental    ,Vast Bike Sales and Rental,CHEHALIS,Chehalis,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Mail-Order Outlet    ,Mail-Order Outlet,ELLENSBURG,Ellensburg,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Fifth Bike Store    ,Fifth Bike Store,EVERETT,Everett,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Rugged Bikes    ,Rugged Bikes,EVERETT,Everett,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Coho Sports    ,Coho Sports,EVERETT,Everett,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Racing Bike Outlet    ,Racing Bike Outlet,FEDERAL WAY,Federal Way,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Travel Sports    ,Travel Sports,ISSAQUAH,Issaquah,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Honest Repair Service    ,Honest Repair Service,KELSO,Kelso,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Official Parts Shop    ,Official Parts Shop,KELSO,Kelso,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Wingtip Toys    ,Wingtip Toys,KENNEWICK,Kennewick,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Year-Round Sports    ,Year-Round Sports,KENT,Kent,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,          Central Discount Store    ,Central Discount Store,KENT,Kent,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Finer Parts Shop    ,Finer Parts Shop,KIRKLAND,Kirkland,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Thorough Parts and Repair Services    ,Thorough Parts and Repair Services,LACEY,Lacey,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Sure & Reliable Sporting Goods    ,Sure & Reliable Sporting Goods,LONGVIEW,Longview,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Certified Bicycle Supply    ,Certified Bicycle Supply,LYNNWOOD,Lynnwood,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Outdoor Sports Supply    ,Outdoor Sports Supply,NORTH BEND,North Bend,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Basic Bike Company    ,Basic Bike Company,PORT ORCHARD,Port Orchard,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Roving Sports    ,Roving Sports,PUYALLUP,Puyallup,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Two Bike Shops    ,Two Bike Shops,PUYALLUP,Puyallup,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Riding Associates    ,Riding Associates,PUYALLUP,Puyallup,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      The Bike Shop    ,The Bike Shop,PUYALLUP,Puyallup,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Front Sporting Goods    ,Front Sporting Goods,REDMOND,Redmond,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Raw Materials Inc    ,Raw Materials Inc,REDMOND,Redmond,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Progressive Sports    ,Progressive Sports,RENTON,Renton,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Moderately-Priced Bikes Store    ,Moderately-Priced Bikes Store,RENTON,Renton,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Authorized Bike Sales and Rental    ,Authorized Bike Sales and Rental,RENTON,Renton,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Closeout Boutique    ,Closeout Boutique,SEATTLE,Seattle,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        A Bike Store    ,A Bike Store,SEATTLE,Seattle,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Latest Sports Equipment    ,Latest Sports Equipment,SEATTLE,Seattle,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Capable Sales and Service    ,Capable Sales and Service,SEATTLE,Seattle,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Fitness Supplies    ,Fitness Supplies,SEQUIM,Sequim,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  City Manufacturing    ,City Manufacturing,SHELTON,Shelton,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Grand Cycle Store    ,Grand Cycle Store,SPOKANE,Spokane,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,          Imaginary Toys    ,Imaginary Toys,SPOKANE,Spokane,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Outstanding Cycles    ,Outstanding Cycles,SPOKANE,Spokane,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Synthetic Materials Manufacturing    ,Synthetic Materials Manufacturing,TACOMA,Tacoma,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Metro Cycle Shop    ,Metro Cycle Shop,TACOMA,Tacoma,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Impromptu Trips    ,Impromptu Trips,UNION GAP,Union Gap,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Alternative Vehicles    ,Alternative Vehicles,WASHOUGAL,Washougal,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Demand Distributors    ,Demand Distributors,WENATCHEE,Wenatchee,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Sports Commodities    ,Sports Commodities,WOODINVILLE,Woodinville,Washington,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Friendly Neighborhood Bikes    ,Friendly Neighborhood Bikes,JOHNSON CREEK,Johnson Creek,Wisconsin,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Unique Bikes    ,Unique Bikes,MILWAUKEE,Milwaukee,Wisconsin,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Little Bicycle Supply Shop    ,Little Bicycle Supply Shop,MOSINEE,Mosinee,Wisconsin,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Good Bike Shop    ,Good Bike Shop,RACINE,Racine,Wisconsin,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Great Bikes    ,Great Bikes,CASPER,Casper,Wyoming,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Some Discount Store    ,Some Discount Store,CHEYENNE,Cheyenne,Wyoming,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, First Department Stores    ,First Department Stores,CHEYENNE,Cheyenne,Wyoming,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Tires and Tubes    ,Tires and Tubes,CHEYENNE,Cheyenne,Wyoming,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Major Sport Suppliers    ,Major Sport Suppliers,ROCK SPRINGS,Rock Springs,Wyoming,United,"States,uSA,New York",States,New York,United States,uSA,USA
